username,repositories,followers,following,contributions
Matthew Johnson,0,0,0,0
hh,0,0,0,186
& C:/Users/goran/AppData/Local/Programs/Python/Python311/python.exe c:/Users/goran/OneDrive/Documents/GitHub/INF502_Project2/main.py,0,0,0,None
& C:/Users/goran/AppData/Local/Programs/Python/Python311/python.exe c:/Users/goran/OneDrive/Documents/GitHub/INF502_Project2/main.py,0,0,0,None
mattjj,0,0,0,None
mattjj,73,1762,134,None
mattjj,0,0,0,None
& C:/Users/goran/AppData/Local/Programs/Python/Python311/python.exe c:/Users/goran/OneDrive/Documents/GitHub/INF502_Project2/main.py,0,0,0,None
& C:/Users/goran/AppData/Local/Programs/Python/Python311/python.exe c:/Users/goran/OneDrive/Documents/GitHub/INF502_Project2/main.py,0,0,0,None
,0,0,0,None
,0,0,0,None
skye,0,0,0,
mattjj,0,0,0,
mattjj,0,0,0,None
mattjj,0,0,0,None
mattjj,0,0,0,None
